,Feature,Mean Ranking
11,MWH_COHORT_1112,0.5
10,ECD_COHORT_1112,0.36
18,Med_HHD_Inc_ACS_08_12,0.35
1,pct_Female_No_HB_CEN_2010,0.27
7,pct_Not_MrdCple_HHD_CEN_2010,0.26
14,pct_College_ACS_08_12,0.26
4,pct_Tot_Occp_Units_ACS_08_12,0.26
0,pct_Civ_emp_16p_ACS_08_12,0.21
6,pct_NH_White_alone_CEN_2010,0.18
2,pct_Prs_Blw_Pov_Lev_ACS_08_12,0.15
9,pct_Hispanic_CEN_2010,0.11
3,Aggregate_HH_INC_ACS_08_12,0.09
5,CWD_COHORT_1112,0.08
17,MBL_COHORT_1112,0.07
12,MHI_COHORT_1112,0.06
16,MAM_COHORT_1112,0.04
13,LEP_COHORT_1112,0.03
15,MAS_COHORT_1112,0.03
19,pct_Not_HS_Grad_ACS_08_12,0.02
8,Aggr_House_Value_ACS_08_12,0.0
